Title,Company,Working Place,Location,Post Date,Number of Positions,Applicants,Career Level,Education,Salary,Job Category,Skills,Job Description
AP Accountant specialist,Full Time,On-site,,Posted 1 month ago,77,1 open position,4 To 6 Years,Experienced (Non-Manager),Bachelor'S Degree,Confidential,Accounting/Finance,Accounting CMA AP English Microsoft Office ERP Finance Microsoft Excel
CRM admin,Full Time,On-site,,Posted 4 days ago,15,1 open position,2 To 4 Years,Experienced (Non-Manager),Not Specified,Confidential,Administration,Zoho CRM Admin Administration Communication Business Administration
Site Installation Engineer,Full Time,On-site,,Posted 1 month ago,63,4 open positions,2 To 5 Years,Experienced (Non-Manager),Bachelor'S Degree,"Confidential, Social Insurance, Medical Insurance",Engineering - Construction/Civil/Architecture,Engineering Civil Engineering Electrical Engineering Mechanical Engineering Site Engineering Site Work Site Installation Mechanical Installations Electrical Installations Steel Structures Civil Mechanical Installations Installation Site Structural Engineering CAD Projects
Research Manager,Full Time,Hybrid,,Posted 21 days ago,23,1 open position,6 To 10 Years,Manager,Not Specified,Confidential,Analyst/Research,Secondary Research Desk Research Project Management Management
Senior Corporate Treasurer,Full Time,On-site,,Posted 2 days ago,12,1 open position,7 To 10 Years,Manager,Bachelor'S Degree,"Confidential, Bonuses",Accounting/Finance,Good Command of English Langiage soild financial modelling Excellent MS office Accounting Communication Corporate Sales Customer Service Finance Financial
Sales Executive ( Saudi Residents ),Full Time,On-site,,Posted 1 month ago,30,1 open position,1 To 2 Years,Entry Level (Junior Level / Fresh Grad),Not Specified,Confidential,Business Development,Sales Target Software Products Sales negotiation skills Software Sales
Financial Manager,Full Time,On-site,,Posted 29 days ago,294,1 open position,7 To 10 Years,Manager,Bachelor'S Degree,Confidential,Accounting/Finance,Budgeting CPA Financial Management
HSE Officer,Full Time,On-site,,Posted 16 days ago,79,1 open position,2 To 4 Years,Experienced (Non-Manager),Bachelor'S Degree,Confidential,Administration,Communication skills Personnel Recruitment Labor Law Health and Safety HSE
Civil Technical Office Engineer (Cairo resident),Full Time,On-site,,Posted 16 days ago,129,2 open positions,2 To 5 Years,Experienced (Non-Manager),Not Specified,Confidential,Engineering - Construction/Civil/Architecture,Architecture technical Design Engineering AutoCAD Drawings Civil Civil Engineering English
Accountant Receivable,Full Time,On-site,,Posted 2 months ago,76,1 open position,3 To 5 Years,Experienced (Non-Manager),Bachelor'S Degree,Confidential,Accounting/Finance,Accounting accountant Accounts Receivable Finance FMCG
Medical Sales Representative,Full Time,On-site,,Posted 2 months ago,34,2 open positions,1 To 3 Years,Entry Level (Junior Level / Fresh Grad),Bachelor'S Degree,"Confidential, Incentives And Commissions",Medical/Healthcare,Sales Sales Skills Vet Pharmacy Science Medical Sales Veterinary Communication skills Customer Service Sales Target English
Mechanical Technical Office Engineer,Full Time,On-site,,Posted 1 month ago,43,1 open position,2 To 5 Years,Experienced (Non-Manager),Bachelor'S Degree,Confidential,Engineering - Mechanical/Electrical,Engineering Mechanical Engineering Electromechanical Contracting Construction AutoCAD Mechanical
Senior Cost Control,Full Time,On-site,,Posted 2 months ago,38,1 open position,5 To 8 Years,Experienced (Non-Manager),Not Specified,"Confidential, Annual Bonus , Medical And Social Insurance",Engineering - Construction/Civil/Architecture,Construction Cost Control Project Cost Control Civil Cost
Call Center Agent,Full Time,On-site,,Posted 28 days ago,124,30 open positions,1 To 2 Years,Entry Level (Junior Level / Fresh Grad),Bachelor'S Degree,Confidential,Customer Service/Support,Call Center Communication Customer Service Customer Care Skills Arabic Customer Support English
VOIS - UK account - International Account Advisor - Alexandria,Full Time,Hybrid,,Posted 1 month ago,15,999 open positions,Not Specified,Entry Level (Junior Level / Fresh Grad),Bachelor'S Degree,"Confidential, Internet Allowance + Device And Headset Will Be Provided.",Customer Service/Support,Call Center Customer Service Customer Support Customer Care English C1 VOIS Vodafone UK Fresh grad Cairo Alex Telecommunication Hybrid international account advisor Fluent English
Call Center Agent,Full Time,On-site,,Posted 2 months ago,132,1 open position,1 To 3 Years,Entry Level (Junior Level / Fresh Grad),Not Specified,Confidential,Customer Service/Support,Agent Call Center Call center agent Customer Service Customer Support Customer Care
Personnel Specialist,Full Time,On-site,N/A,Posted 3 days ago,44,1 open position,2 To 4 Years,Experienced (Non-Manager),Bachelor'S Degree,Confidential,Human Resources,HR Diploma Human Resources (HR) Insurance Medical Microsoft Office Personnel Social Insurance HR office
Planning and logistics Engineer,Full Time,On-site,,Posted 1 month ago,41,1 open position,5 To 7 Years,Experienced (Non-Manager),Bachelor'S Degree,Confidential,Logistics/Supply Chain,Logistics Operations Planning Logistics Management Supply Chain
Health and Safety Section Head,Full Time,On-site,,Posted 2 days ago,21,1 open position,5 To 8 Years,Manager,Bachelor'S Degree,Confidential,Other,IOSH NEBOSH Health and Safety OSHA NIOSH Safety
Senior HR Manager Assistant,Full Time,On-site,,Posted 2 months ago,93,1 open position,1 To 3 Years,Experienced (Non-Manager),Bachelor'S Degree,Confidential,Administration,Assistant Communication skills Human Resources Management Human Resources (HR) HR English Business Administration Administration MS Office Office management Microsoft Office
Sales & Marketing Executive,Full Time,On-site,,Posted 25 days ago,12,3 open positions,1 To 5 Years,Entry Level (Junior Level / Fresh Grad),Bachelor'S Degree,Female,Sales/Retail,Commercial Communication Marketing Sales Sales Target sales skills social Management
BIM Coordinator - MEP,Full Time,On-site,,Posted 1 month ago,26,1 open position,More Than 7 Years,Experienced (Non-Manager),Bachelor'S Degree,"Confidential, Attractive Salary Paid In USD",Engineering - Construction/Civil/Architecture,BIM Revit Design Electrical Engineering Mechanical Engineering MEP Engineering
Warehouse keeper,Full Time,On-site,,Posted 2 months ago,52,4 open positions,1 To 3 Years,Entry Level (Junior Level / Fresh Grad),Bachelor'S Degree,Confidential,Administration,Warehouse keeper Warehousing Inventory software Logistics Supply Chain Warehouse forklift
German teacher for elementary school,Full Time,On-site,,Posted 1 month ago,6,1 open position,2 To 5 Years,Experienced (Non-Manager),Not Specified,Confidential,Education/Teaching,Education School teacher Teaching
Junior Linux System Administrator,Full Time,Hybrid,,Posted 4 days ago,61,1 open position,0 To 3 Years,Entry Level (Junior Level / Fresh Grad),Not Specified,"Confidential, Social & Medical Insurance",Installation/Maintenance/Repair,Administration CCNA Cisco Computer Science Engineering Information Technology (IT) Linux MySQL Network Administration System Administration System administrator Vmware
Accountant,Full Time,On-site,,Posted 1 month ago,96,1 open position,3 To 5 Years,Experienced (Non-Manager),Not Specified,Confidential,Accounting/Finance,Accounting Finance Financial Analysis Financial Management accountant Manufacturing
Quality Assurance Senior Supervisor,Full Time,On-site,,Posted 9 days ago,38,1 open position,5 To 7 Years,Experienced (Non-Manager),Bachelor'S Degree,Confidential,Project/Program Management,quality Quality Assurance Quality Control Microsoft Office
Sales Representative,Full Time,On-site,,Posted 7 days ago,33,1 open position,1 To 4 Years,Entry Level (Junior Level / Fresh Grad),Bachelor'S Degree,Male,Sales/Retail,Sales Engineering Mechanical Engineering Water Pumps Communication skills Customer Service Education Communication Sales Sales Target sales skills
Sales Representative,Part Time,On-site,,Posted 1 month ago,19,2 open positions,0 To 2 Years,Entry Level (Junior Level / Fresh Grad),Bachelor'S Degree,Females Preferred,Sales/Retail,sales skills Photography Sales Sales Target
Technical Office Section Manager,Full Time,On-site,,Posted 2 months ago,197,3 open positions,12 To 15 Years,Experienced (Non-Manager),Not Specified,Confidential,Engineering - Construction/Civil/Architecture,AutoCAD Engineering Technical Office Architectural Engineering AutoCAD Architecture Technical Office Engineering
Digital Marketing Specialist,Full Time,On-site,,Posted 10 days ago,8,1 open position,2 To 5 Years,Experienced (Non-Manager),Bachelor'S Degree,Confidential,Marketing/PR/Advertising,digital marketing Ecommerce E-Marketing SEO Marketing Campaigns Google Ads Website Design Website Analytics Shopify Content Writing Copywriting campaigns
HR Personnel - Insurance and Database Management,Full Time,On-site,,Posted 2 months ago,48,1 open position,1 To 2 Years,Experienced (Non-Manager),Not Specified,Confidential,Administration,Communication business Human Resources (HR) HR Insurance Management Personnel Database
English Instructor - Heliopolis / Nasr City Branches,Full Time,On-site,,Posted 2 months ago,27,5 open positions,More Than 1 Year,Entry Level (Junior Level / Fresh Grad),Bachelor'S Degree,Confidential,Customer Service/Support,Instructor Teaching Skills Training teaching kids Communication Communication skills Education Kids English Development
Website Accountant officer,Full Time,Remote,,Posted 2 months ago,156,1 open position,5 To 10 Years,Experienced (Non-Manager),Bachelor'S Degree,10000 To 20000 EGP Per Month,Accounting/Finance,Financial Accounting Financial Reporting Budgeting Account Management
Music Teacher - September 2025,Full Time,On-site,,Posted 7 days ago,7,1 open position,More Than 3 Years,Experienced (Non-Manager),Bachelor'S Degree,Confidential,Education/Teaching,Education IB PYP School Teaching IB pyp Music music teaching
Call Center Agent,Full Time,On-site,N/A,Posted 20 days ago,31,4 open positions,0 To 3 Years,Entry Level (Junior Level / Fresh Grad),Bachelor'S Degree,Confidential,Customer Service/Support,Call Center Call center agent Agent Customer Care Customer Service Customer Support Communication skills Sales Telesales Microsoft Office English Software
Inventory Accountant,Full Time,On-site,,Posted 2 days ago,27,1 open position,More Than 5 Years,Experienced (Non-Manager),Bachelor'S Degree,16000 To 20000 EGP Per Month,Accounting/Finance,Accounting inventory Financial Analysis Finance excel GAAP Microsoft Excel QuickBooks Software
Process internship - Cotherm TOR,Internship,On-site,,Posted 23 days ago,35,1 open position,Not Specified,Entry Level (Junior Level / Fresh Grad),Not Specified,5000 To 5000 EGP Per Month,Manufacturing/Production,Communication Engineering Mechanical Engineering Manufacturing Industry Industrial Engineering
Financial Analyst,Full Time,On-site,,Posted 1 month ago,52,1 open position,5 To 10 Years,Experienced (Non-Manager),Bachelor'S Degree,Confidential,Accounting/Finance,Accounting Commerce Corporate Finance Finance Financial Analysis Forecasting Financial Forecasting Reporting MS Office Financial Economics Analysis
Junior Lab Engineer,Full Time,On-site,,Posted 3 days ago,28,2 open positions,0 To 1 Year,Entry Level (Junior Level / Fresh Grad),Bachelor'S Degree,Females Preferred,Engineering - Telecom/Technology,Electrical power Communication skills Engineering Communication
German Digital Marketing/Business development -internship,Internship,Remote,,Posted 2 months ago,30,1 open position,Not Specified,Student (Undergrad / Postgrad),Not Specified,Paid,Business Development,Business Development Communication skills digital marketing german
Product Manager (Pharmaceutical) (Pedia or Gyna Experience),Full Time,On-site,,Posted 2 days ago,Be the First to Apply,N/A,2 To 5 Years,Manager,Not Specified,Confidential,Marketing/PR/Advertising,Marketing Management MBA Pharmaceutical Communication Sales English Product Product Management
Legal Secretary,Full Time,On-site,,Posted 2 months ago,92,1 open position,2 To 5 Years,Experienced (Non-Manager),Not Specified,Confidential,Administration,Law Legal legal terminology Regulations Secretary Administration Management Office management English
HR Manager,Full Time,On-site,,Posted 5 days ago,226,1 open position,10 To 15 Years,Experienced (Non-Manager),Not Specified,Confidential,Human Resources,Human Resources (HR) HR Recruitment Management
Senior Full Stack Developer,Full Time,Remote,,Posted 1 month ago,65,1 open position,More Than 6 Years,Manager,Not Specified,"25000 To 35000 EGP Per Month, Potential For Performance-Based Bonuses Or Equity.",IT/Software Development,Full Stack Developer Node.js React APIs Design Agile Cypress AI
Maintenance and service Engineer,Full Time,On-site,,Posted 20 days ago,78,3 open positions,0 To 2 Years,Experienced (Non-Manager),Bachelor'S Degree,Male,Installation/Maintenance/Repair,Maintenance Engineering Electrical Engineering Inkjet Inkjet printing Mechanical Engineering Mechatronics Technical Support
